song,artist,popularity
Kill A Word,Eric Church Featuring Rhiannon Giddens,-1.0
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,-1.0
Black Beatles,Rae Sremmurd Featuring Gucci Mane,-1.0
Sober Saturday Night,Chris Young Featuring Vince Gill,-1.0
Comin Out Strong,Future Featuring The Weeknd,-1.0
Chantaje,Shakira Featuring Maluma,-1.0
Side To Side,Ariana Grande Featuring Nicki Minaj,-1.0
Used To This,Future Featuring Drake,-1.0
No Heart,21 Savage & Metro Boomin,-1.0
Broccoli,D.R.A.M. Featuring Lil Yachty,-1.0
No Favors,Big Sean Featuring Eminem,-1.0
Starving,Hailee Steinfeld & Grey Featuring Zedd,-1.0
Bom Bidi Bom,Nick Jonas & Nicki Minaj,-1.0
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,-1.0
Cheap Thrills,Sia Featuring Sean Paul,-1.0
Don't Let Me Down,The Chainsmokers Featuring Daya,-1.0
The Greatest,Sia Featuring Kendrick Lamar,-1.0
I Don't,Mariah Carey Featuring YG,-1.0
Light,Big Sean Featuring Jeremih,-1.0
Kelly Price,Migos Featuring Travis Scott,-1.0
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,-1.0
I'm Better,Missy Elliott Featuring Lamb,-1.0
Culture,Migos Featuring DJ Khaled,-1.0
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,-1.0
Cold Water,Major Lazer Featuring Justin Bieber & MO,-1.0
Sneakin',Drake Featuring 21 Savage,-1.0
Say It,Flume Featuring Tove Lo,-1.0
Running Back,Wale Featuring Lil Wayne,-1.0
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,-1.0
All We Know,The Chainsmokers Featuring Phoebe Ryan,-1.0
Just Hold On,Steve Aoki & Louis Tomlinson,-1.0
My Sh*t,A Boogie Wit da Hoodie,-1.0
I Hate U I Love U,gnash Featuring Olivia O'Brien,-1.0
May We All,Florida Georgia Line Featuring Tim McGraw,-1.0
Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,-1.0
Key To The Streets,YFN Lucci Featuring Migos & Trouble,-1.0
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,-1.0
Careless Whisper,Wham! Featuring George Michael,-1.0
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,-1.0
Black Barbies,Nicki Minaj X Mike WiLL Made-It,-1.0
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",-1.0
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,-1.0
Bartier Cardi,Cardi B Featuring 21 Savage,-1.0
Beautiful People,Ed Sheeran Featuring Khalid,-1.0
Bed,Nicki Minaj Featuring Ariana Grande,-1.0
Best Friend,Saweetie Featuring Doja Cat,-1.0
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",-1.0
Big Paper,DJ Khaled Featuring Cardi B,-1.0
Bon Appetit,Katy Perry Featuring Migos,-1.0
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",-1.0
Can I,Kehlani Featuring Tory Lanez,-1.0
Coney Island,Taylor Swift Featuring The National,-1.0
Demeanor,Pop Smoke Featuring Dua Lipa,-1.0
Die For Me,Post Malone Featuring Future & Halsey,-1.0
Don't Cry,Lil Wayne Featuring XXXTENTACION,-1.0
Drip,Cardi B Featuring Migos,-1.0
Easy,DaniLeigh Featuring Chris Brown,-1.0
El Bano,Enrique Iglesias Featuring Bad Bunny,-1.0
End Game,Taylor Swift Featuring Ed Sheeran & Future,-1.0
Enemies,Post Malone Featuring DaBaby,-1.0
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,-1.0
Every Hour,Kanye West Featuring Sunday Service Choir,-1.0
Everyday,Ariana Grande Featuring Future,-1.0
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,-1.0
Family Feud,JAY-Z Featuring Beyonce,-1.0
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,-1.0
Fetish,Selena Gomez Featuring Gucci Mane,-1.0
Ghost Town,Kanye West Featuring PARTYNEXTDOOR,-1.0
Good Form,Nicki Minaj Featuring Lil Wayne,-1.0
Good Guy,Eminem Featuring Jessie Reyez,-1.0
HAD ENOUGH,Don Toliver Featuring Quavo & Offset,-1.0
Hands On,Kanye West Featuring Fred Hammond,-1.0
Havana,Camila Cabello Featuring Young Thug,-1.0
High Fashion,Roddy Ricch Featuring Mustard,-1.0
Holy,Justin Bieber Featuring Chance The Rapper,-1.0
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",-1.0
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",-1.0
Infinity (888),XXXTENTACION Featuring Joey Bada$$,-1.0
Juggernaut,"Tyler, The Creator Featuring Lil Uzi Vert & Pharrell Williams",-1.0
Knife Talk,Drake Featuring 21 Savage & Project Pat,-1.0
Leaving Heaven,Eminem Featuring Skylar Grey,-1.0
Lemonhead,"Tyler, The Creator Featuring 42 Dugg",-1.0
Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,-1.0
Levitating,Dua Lipa Featuring DaBaby,-1.0
Lost,NF Featuring Hopsin,-1.0
Love.,Kendrick Lamar Featuring Zacari,-1.0
Loyal,PARTYNEXTDOOR Featuring Drake,-1.0
M3tamorphosis,Playboi Carti Featuring Kid Cudi,-1.0
Majesty,Nicki Minaj Featuring Eminem & Labrinth,-1.0
Manifesto,"Tyler, The Creator Featuring Domo Genesis",-1.0
Manslaughter,Pop Smoke Featuring Rick Ross & The-Dream,-1.0
Me Gusta,Anitta Featuring Cardi B & Myke Towers,-1.0
Mixed Personalities,YNW Melly Featuring Kanye West,-1.0
Monsters,All Time Low Featuring Demi Lovato & blackbear,-1.0
Mr. Jones,Pop Smoke Featuring Future,-1.0
No Complaints,Metro Boomin Featuring Offset & Drake,-1.0
No Regrets,Eminem Featuring Don Toliver,-1.0
Not Alike,Eminem Featuring Royce Da 5'9,-1.0
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,-1.0
On The Road,Post Malone Featuring Meek Mill & Lil Baby,-1.0
Out West,JACKBOYS Featuring Young Thug,-1.0
Prisoner,Miley Cyrus Featuring Dua Lipa,-1.0
Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,-1.0
Renegade,Big Red Machine Featuring Taylor Swift,-1.0
Rich MF,Trippie Redd Featuring Lil Durk & Polo G,-1.0
Rich Sex,Nicki Minaj Featuring Lil Wayne,-1.0
Rise!,"Tyler, The Creator Featuring Daisy World",-1.0
River,Eminem Featuring Ed Sheeran,-1.0
Sacrifices,Big Sean Featuring Migos,-1.0
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,-1.0
Sidewalks,The Weeknd Featuring Kendrick Lamar,-1.0
Smile,JAY-Z Featuring Gloria Carter,-1.0
Starboy,The Weeknd Featuring Daft Punk,-1.0
Strangers,Halsey Featuring Lauren Jauregui,-1.0
Suncity,Khalid Featuring Empress Of,-1.0
Supalonely,BENEE Featuring Gus Dapperton,-1.0
Swish Swish,Katy Perry Featuring Nicki Minaj,-1.0
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,-1.0
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,-1.0
Tell The Vision,Pop Smoke Featuring Kanye West & Pusha T,-1.0
UnFazed,Lil Uzi Vert Featuring The Weeknd,-1.0
Unforgettable,French Montana Featuring Swae Lee,-1.0
Urgency,Lil Uzi Vert Featuring Syd,-1.0
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",-1.0
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,-1.0
Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,-1.0
X,Jonas Brothers Featuring Karol G,-1.0
X,21 Savage & Metro Boomin Featuring Future,-1.0
XXX.,Kendrick Lamar Featuring U2,-1.0
You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold",-1.0
ZEZE,Kodak Black Featuring Travis Scott & Offset,-1.0
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Bitter,Summer Walker & Cardi B,-1.0
Toxic,Summer Walker Featuring Lil Durk,-1.0
Unloyal,Summer Walker & Ari Lennox,-1.0
Constant Bulls**t,Summer Walker,-1.0
Switch A N*gga Out,Summer Walker,-1.0
Screwin,Summer Walker & Omarion,-1.0
Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,-1.0
Jumpin,NLE Choppa Featuring Polo G,-1.0
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton,-1.0
Nothing New (Taylor's Version) (From The Vault),Taylor Swift Featuring Phoebe Bridgers,-1.0
Run (Taylor's Version) (From The Vault),Taylor Swift Featuring Ed Sheeran,-1.0
Everything Has Changed (Taylor's Version),Taylor Swift Featuring Ed Sheeran,-1.0
The Last Time (Taylor's Version),Taylor Swift Featuring Gary Lightbody Of Snow Patrol,-1.0
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,-1.0
Blast Off,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
Fly As Me,Silk Sonic (Bruno Mars & Anderson .Paak),-1.0
La Fama,Rosalia Featuring The Weeknd,-1.0
Enemy,Imagine Dragons X JID,-1.0
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,-1.0
Wandered To LA.,Juice WRLD & Justin Bieber,-1.0
Don't Play,Polo G Featuring Lil Baby,-1.0
Start Up Again,Polo G Featuring Moneybagg Yo,-1.0
I'll Be Home For Christmas,Camila Cabello,-1.0
Girl Of My Dreams,Juice WRLD & SUGA,-1.0
Broadway Girls,Lil Durk Featuring Morgan Wallen,-1.0
Moved To Miami,Roddy Ricch Featuring Lil Baby,-1.0
Hibachi,Roddy Ricch Featuring Kodak Black & 21 Savage,-1.0
Do It To It,Acraze Featuring Cherish,-1.0
