song,artist
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie"
Go Loko,"YG, Tyga & Jon Z"
Doin' Time,Lana Del Rey
7 Rings,Ariana Grande
Whiskey Glasses,Morgan Wallen
God's Country,Blake Shelton
Shotta Flow,NLE Choppa
ME!,Taylor Swift Featuring Brendon Urie
Babushka Boi,A$AP Rocky
Cruel Summer,Taylor Swift
I Forgot That You Existed,Taylor Swift
Call You Mine,The Chainsmokers & Bebe Rexha
Out Of Luck,Lil Tecca
Shots,Lil Tecca
Juice,Lizzo
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy
God Only Knows,for KING & COUNTRY
Love Me,Lil Tecca
Soltera,"Lunay, Daddy Yankee & Bad Bunny"
The Archer,Taylor Swift
Paper Rings,Taylor Swift
Miss Americana & The Heartbreak Prince,Taylor Swift
I Think He Knows,Taylor Swift
Cornelia Street,Taylor Swift
London Boy,Taylor Swift
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks
Death By A Thousand Cuts,Taylor Swift
Afterglow,Taylor Swift
False God,Taylor Swift
Daylight,Taylor Swift
Raised On Country,Chris Young
It's Nice To Have A Friend,Taylor Swift
Never Really Over,Katy Perry
EARFQUAKE,"Tyler, The Creator"
Clout,Offset Featuring Cardi B
What's The Move,Young Thug Featuring Lil Uzi Vert
Just How It Is,Young Thug
Surf,Young Thug Featuring Gunna
Sup Mate,Young Thug Featuring Future
Won't Be Late,Swae Lee Featuring Drake
Light It Up,Young Thug
Lil Baby,Young Thug
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke
Some Of It,Eric Church
Ecstasy,Young Thug Featuring Machine Gun Kelly
Uno,Ambjaay
Daddy,Blueface & Rich The Kid
Happier,Marshmello & Bastille
Sweet But Psycho,Ava Max
Better,Khalid
Going Bad,Meek Mill Featuring Drake
Talk You Out Of It,Florida Georgia Line
Gold Roses,Rick Ross Featuring Drake
Just Us,DJ Khaled Featuring SZA
Small Talk,Katy Perry
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair"
Snake Skin,Trippie Redd
24/7,Meek Mill Featuring Ella Mai
Love Ain't,Eli Young Band
Sanguine Paradise,Lil Uzi Vert
Tap,NAV Featuring Meek Mill
La La Land,Bryce Vine Featuring YG
Que Pretendes,J Balvin & Bad Bunny
Single Again,Big Sean
Worth It,YK Osiris
Shallow,Lady Gaga & Bradley Cooper
Trust Issues,Drake
How About Now,Drake
The Motion,Drake
Dreams Money Can Buy,Drake
Club Paradise,Drake
Antisocial,Ed Sheeran & Travis Scott
Fear Inoculum,Tool
Days In The East,Drake
Before I Let Go,Beyonce
High Hopes,Panic! At The Disco
Sicko Mode,Travis Scott
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
Leave Me Alone,NF
The Search,NF
MEGATRON,Nicki Minaj
All Day Long,Chance The Rapper Featuring John Legend
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie
Calma,Pedro Capo X Farruko
Cool,Jonas Brothers
Nightmare,Halsey
Rumor,Lee Brice
Act Up,City Girls
GIRL,Maren Morris
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Middle Child,J. Cole
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby"
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare"
Pure Water,Mustard & Migos
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent
Walk Me Home,P!nk
Look What God Gave Her,Thomas Rhett
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
Like A Rodeo,Kane Brown
Spirit,Beyonce
Best Part Of Me,Ed Sheeran Featuring YEBBA
Wake Up,Travis Scott
Eastside,"benny blanco, Halsey & Khalid"
Look Back At It,A Boogie Wit da Hoodie
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy"
Good As You,Kane Brown
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God"
Out The Mud,Lil Baby Featuring Future
Girls Need Love,Summer Walker X Drake
Mother's Daughter,Miley Cyrus
Ocean Eyes,Billie Eilish
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink
Homicide,Logic Featuring Eminem
Please Me,Cardi B & Bruno Mars
When I Grow Up,NF
Eyes On You,Chase Rice
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo"
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Here With Me,Marshmello Featuring CHVRCHES
Love Someone,Brett Eldredge
Big Ole Freak,Megan Thee Stallion
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih"
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
Omerta,Drake
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
When The Party's Over,Billie Eilish
Envy Me,Calboy
Miss Me More,Kelsea Ballerini
Sanctuary,Joji
Rescue Me,Marshmello Featuring A Day To Remember
Te Robare,Nicky Jam X Ozuna
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
Beautiful Crazy,Luke Combs
Close Friends,Lil Baby
Bury A Friend,Billie Eilish
Put A Date On It,Yo Gotti Featuring Lil Baby
Heaven,Avicii
Please Tell Me,Future
On My Way To You,Cody Johnson
Amor Genuino,Ozuna
XanaX Damage,Future
Government Official,Future
Murder On My Mind,YNW Melly
Isis,Joyner Lucas Featuring Logic
Boy With Luv,BTS Featuring Halsey
Shut Up About Politics,John Rich Featuring The Five
Under Enemy Arms,Trippie Redd
Night Shift,Jon Pardi
A Lot,21 Savage
Thotiana,Blueface
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Don't Call Me Up,Mabel
Earth,Lil Dicky
HP,Maluma
Paradise,Bazzi
Girls Like You,Maroon 5 Featuring Cardi B
I Think,"Tyler, The Creator"
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
Running Out Of Time,"Tyler, The Creator"
Igor's Theme,"Tyler, The Creator"
New Magic Wand,"Tyler, The Creator"
A Boy Is A Gun,"Tyler, The Creator"
What's Good,"Tyler, The Creator"
Puppet,"Tyler, The Creator"
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby
Here Tonight,Brett Young
Be Alright,Dean Lewis
Drip Too Hard,Lil Baby & Gunna
"Thank U, Next",Ariana Grande
Baby Shark,Pinkfong
Make It Sweet,Old Dominion
Shot Clock,Ella Mai
I'm So Tired...,Lauv & Troye Sivan
You Should See Me In A Crown,Billie Eilish
SOS,Avicii Featuring Aloe Blacc
Wish You Were Gay,Billie Eilish
That's A Rack,Lil Uzi Vert
Rule The World,2 Chainz Featuring Ariana Grande
Die Young,Roddy Ricch
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
You Say,Lauren Daigle
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Power Is Power,"SZA, The Weeknd & Travis Scott"
Middle Child,PnB Rock & XXXTENTACION
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
Secreto,Anuel AA & Karol G
Faucet Failure,Ski Mask The Slump God
Youngblood,5 Seconds Of Summer
Floating,ScHoolboy Q Featuring 21 Savage
CHopstix,ScHoolboy Q + Travis Scott
Light It Up,"Marshmello, Tyga & Chris Brown"
Numb Numb Juice,ScHoolboy Q
Love Me Anyway,P!nk Featuring Chris Stapleton
Stop Snitching,YG
Kill This Love,BLACKPINK
Better Now,Post Malone
Bad Liar,Imagine Dragons
Slide,French Montana Featuring Blueface & Lil Tjay
Saturday Nights,Khalid & Kane Brown
Pure Cocaine,Lil Baby
This Is It,Scotty McCreery
My Strange Addiction,Billie Eilish
Let Me Down Slowly,Alec Benjamin + Alessia Cara
Xanny,Billie Eilish
One That Got Away,Michael Ray
MIA,Bad Bunny Featuring Drake
Tequila,Dan + Shay
Money,Cardi B
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY
Undrunk,FLETCHER
Last Time That I Checc'd,Nipsey Hussle Featuring YG
There Was This Girl,Riley Green
My Bad,Khalid
Outta My Head,Khalid With John Mayer
Monopoly,Ariana Grande & Victoria Monet
Don't Pretend,Khalid x SAFE
Bad Luck,Khalid
Inmortal,Aventura
Dedication,Nipsey Hussle Featuring Kendrick Lamar
Victory Lap,Nipsey Hussle Featuring Stacy Barthe
I Love You,Billie Eilish
Ilomilo,Billie Eilish
Listen Before I Go,Billie Eilish
8,Billie Eilish
Twerk,City Girls Featuring Cardi B
Lovely,Billie Eilish & Khalid
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin"
Millionaire,Chris Stapleton
Girl Like You,Jason Aldean
I Like It,"Cardi B, Bad Bunny & J Balvin"
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
Down To The Honkytonk,Jake Owen
Price On My Head,NAV Featuring The Weeknd
Confessions Of A Dangerous Mind,Logic
Take It From Me,Jordan Davis
Splashin,Rich The Kid
I,Lil Skies
Hear Me Calling,Juice WRLD
Undecided,Chris Brown
Calling My Spirit,Kodak Black
Last Hurrah,Bebe Rexha
Love Wins,Carrie Underwood
Sally Walker,Iggy Azalea
Ella Quiere Beber,Anuel AA & Romeo Santos
Fast,Juice WRLD
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Maze,Juice WRLD
What Makes You Country,Luke Bryan
Flaws And Sins,Juice WRLD
Nights Like This,Kehlani Featuring Ty Dolla $ign
Always Remember Us This Way,Lady Gaga
Leave Me Alone,Flipp Dinero
Mo Bamba,Sheck Wes
Burn Out,Midland
Red Room,Offset
Whip,2 Chainz Featuring Travis Scott
Armed And Dangerous,Juice WRLD
Needy,Ariana Grande
Love Someone,Lukas Graham
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar
Backin' It Up,Pardison Fontaine Featuring Cardi B
Legacy,Offset Featuring Travis Scott & 21 Savage
I'll Never Love Again,Lady Gaga
How Did I Get Here,Offset Featuring  J. Cole
NASA,Ariana Grande
Outstanding,Gunna
Be Like Me,Lil Pump Featuring Lil Wayne
3 Headed Snake,Gunna Featuring Young Thug
Wit It,Gunna
This Feeling,The Chainsmokers Featuring Kelsea Ballerini
One Call,Gunna
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
Imagine,Ariana Grande
Lick,Offset
Bad Idea,Ariana Grande
Speed It Up,Gunna
Bloodline,Ariana Grande
I Guess I Just Feel Like,John Mayer
Same Yung N***a,Gunna Featuring Playboi Carti
Fake Smile,Ariana Grande
Lost In The Fire,Gesaffelstein & The Weeknd
Ghostin,Ariana Grande
Sixteen,Thomas Rhett
In My Head,Ariana Grande
Body,Loud Luxury Featuring Brando
365,Zedd & Katy Perry
Yosemite,Travis Scott
Make Up,Ariana Grande
Good Girl,Dustin Lynch
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
Uproar,Lil Wayne
Burning Man,Dierks Bentley Featuring Brothers Osborne
You,Jacquees
Ruin My Life,Zara Larsson
Talk To Me,Tory Lanez & Rich The Kid
Rainbow,Kacey Musgraves
Alone,Marshmello
Breathin,Ariana Grande
Trip,Ella Mai
Love Lies,Khalid & Normani
Beautiful,Bazzi Featuring Camila Cabello
First Off,Future Featuring Travis Scott
Roses,benny blanco & Juice WRLD Featuring Brendon Urie
Keanu Reeves,Logic
No Stylist,French Montana Featuring Drake
Crushed Up,Future
Best Shot,Jimmie Allen
Sauce!,XXXTENTACION
BAD!,XXXTENTACION
Blue Tacoma,Russell Dickerson
Natural,Imagine Dragons
Jumpin On A Jet,Future
Never Stop,Future
Consequences,Camila Cabello
Temptation,Future
Rocket Ship,Future
F&N,Future
Electricity,Silk City x Dua Lipa
Face My Fears,Hikaru Utada & Skrillex
Call The Coroner,Future
She Got The Best Of Me ,Luke Combs
Fine China,Future & Juice WRLD
Nuketown,Ski Mask The Slump God Featuring Juice WRLD
Space Cadet,Metro Boomin Featuring Gunna
Butterfly Doors,Lil Pump
Valuable Pain,YoungBoy Never Broke Again
Can't Leave Without It,21 Savage
idontwannabeyouanymore,Billie Eilish
Last Shot,Kip Moore
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
Lost In Japan,Shawn Mendes X Zedd
Monster,21 Savage
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
KIKA,6ix9ine Featuring Tory Lanez
Dip,Tyga & Nicki Minaj
Lucky You,Eminem Featuring Joyner Lucas
Drunk Me,Mitchell Tenpenny
Dangerous,Meek Mill Featuring Jeremih & PnB Rock
Solo de Mi,Bad Bunny
whoa (mind in awe),XXXTENTACION
All My Friends,21 Savage
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
Cozy Little Christmas,Katy Perry
The Christmas Song,Lauren Daigle
Break Da Law,21 Savage
1.5,21 Savage
Out For The Night,21 Savage
Gun Smoke,21 Savage
ASMR,21 Savage
MoshPit,Kodak Black Featuring Juice WRLD
Testimony,Kodak Black
Gnarly,Kodak Black Featuring Lil Pump
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West
Broken,lovelytheband
Taste,Tyga Featuring Offset
Guardian Angel,XXXTENTACION
God Is A Woman,Ariana Grande
I Don't Let Go,XXXTENTACION
What's Free,Meek Mill Featuring Rick Ross & JAY-Z
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker
Train Food,XXXTENTACION
What Are You So Afraid Of,XXXTENTACION
Staring At The Sky,XXXTENTACION
Lie,NF
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie
On Me,Meek Mill Featuring Cardi B
Difference (Interlude),XXXTENTACION
TIC TOC,6ix9ine Featuring Lil Baby
That's On Me,Yella Beezy
Intro,Meek Mill
Respect The Game,Meek Mill
Ring,Cardi B Featuring Kehlani
Trauma,Meek Mill
Time,Lil Baby Featuring Meek Mill
Ready,Lil Baby Featuring Gunna
Championships,Meek Mill
Tic Tac Toe,Meek Mill Featuring Kodak Black
Almost Slipped,Meek Mill
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug"
Pay You Back,Meek Mill Featuring 21 Savage
Foot Fungus,Ski Mask The Slump God
Crush A Lot,Lil Baby
Oodles O' Noodles Babies,Meek Mill
STOOPID,6ix9ine Featuring Bobby Shmurda
Global,Lil Baby
Word On The Street,Lil Baby
In My Feelings,Drake
Lose It,Kane Brown
Yes Indeed,Lil Baby & Drake
Nonstop,Drake
Boo'd Up,Ella Mai
Topanga,Trippie Redd
Come Out And Play,Billie Eilish
10 Freaky Girls,Metro Boomin Featuring 21 Savage
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD
I'm A Mess,Bebe Rexha
Hangin' On,Chris Young
Never Recover,Lil Baby & Gunna Featuring Drake
BEBE,6ix9ine Featuring Anuel AA
Rich,Maren Morris
Best Part,Daniel Caesar Featuring H.E.R.
Don't Come Out The House,Metro Boomin Featuring 21 Savage
I Love It,Kanye West & Lil Pump
Falling Down,Lil Peep & XXXTENTACION
Noticed,Lil Mosey
I Like Me Better,Lauv
Psycho,Post Malone Featuring Ty Dolla $ign
Sad!,XXXTENTACION
Bohemian Rhapsody,Queen
Take One,Kodak Black
W O R K I N  M E,Quavo
Mona Lisa,Lil Wayne Featuring Kendrick Lamar
Burn The House Down,AJR
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
Love Scars 3,Trippie Redd
Negative Energy,Trippie Redd Featuring Kodie Shane
Toxic Waste,Trippie Redd
Drew Barrymore,Bryce Vine
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone
Back To You,Selena Gomez
Delicate,Taylor Swift
Overdue,Metro Boomin Featuring Travis Scott
Last Memory,TakeOff
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott
No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage"
Promises,Calvin Harris & Sam Smith
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
Hotel Key,Old Dominion
Killshot,Eminem
Casper,TakeOff
Up To Something,Metro Boomin Featuring Travis Scott & Young Thug
The Middle,"Zedd, Maren Morris & Grey"
Drunk Girl,Chris Janson
Waste It On Me,Steve Aoki Featuring BTS
A Million Dreams,P!nk
Venom,Eminem
New Patek,Lil Uzi Vert
Break Up In The End,Cole Swindell
Kamikaze,Lil Mosey
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert
No Tears Left To Cry,Ariana Grande
Jet Lag,Future & Juice WRLD Featuring Young Scooter
Astronauts,Future & Juice WRLD
Vertigo,Khalid
Yacht Club,Lil Yachty Featuring Juice WRLD
Make It Back,Juice WRLD
Kiss And Make Up,Dua Lipa & BLACKPINK
Africa,Weezer
Get Dripped,Lil Yachty Featuring Playboi Carti
Meant To Be,Bebe Rexha & Florida Georgia Line
Flip The Switch,Quavo Featuring Drake
Simple,Florida Georgia Line
Pass Out,Quavo Featuring 21 Savage
Medicine,Queen Naija
Biggest Alley Oop,Quavo
Rerun,Quavo Featuring Travis Scott
Huncho Dreams,Quavo
Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby
Thunderclouds,"Labrinth, Sia & Diplo Present... LSD"
"Sunrise, Sunburn, Sunset",Luke Bryan
"If I'm Lyin, I'm Flyin",Kodak Black
Lose It,Quavo Featuring Lil Baby
Off White VLONE,Lil Baby & Gunna Featuring Lil Durk & NAV
Business Is Business,Lil Baby & Gunna
Is That Alright?,Lady Gaga
Let It Fly,Lil Wayne Featuring Travis Scott
Dedicate,Lil Wayne
Jumpsuit,twenty one pilots
Belly,Lil Baby & Gunna
My Blood,twenty one pilots
The Way I Am,Charlie Puth
Can't Be Broken,Lil Wayne
Maybe It's Time,Bradley Cooper
Nico And The Niners,twenty one pilots
Deep End,Lil Baby
I Am,Lil Baby & Gunna
What About Me,Lil Wayne Featuring Sosamann
Dark Side Of The Moon,Lil Wayne Featuring Nicki Minaj
Famous,Lil Wayne Featuring Reginae Carter
Dope N****z,Lil Wayne Featuring Snoop Dogg
Open Letter,Lil Wayne
Problems,Lil Wayne
Hittas,Lil Wayne
Open Safe,Lil Wayne
Took His Time,Lil Wayne
Mess,Lil Wayne
Let It All Work Out,Lil Wayne
Start This S**t Off Right,Lil Wayne Featuring Ashanti & Mack Maine
Used 2,Lil Wayne
Rap Devil,Machine Gun Kelly
Demon,Lil Wayne
Perfect Strangers,Lil Wayne
Dope New Gospel,Lil Wayne Featuring Nivea
Head Above Water,Avril Lavigne
Perfect,Ed Sheeran
Nice For What,Drake
God's Plan,Drake
Barbie Dreams,Nicki Minaj
All Girls Are The Same,Juice WRLD
Fall,Eminem
Life Changes,Thomas Rhett
Hooked,Dylan Scott
Stargazing,Travis Scott
Lean Wit Me,Juice WRLD
Self Care,Mac Miller
OTW,"Khalid, Ty Dolla $ign & 6LACK"
Remind Me To Forget,Kygo Featuring Miguel
The Ringer,Eminem
Apes**t,The Carters
Hopeless Romantic,Wiz Khalifa Featuring Swae Lee
Solo,Clean Bandit Featuring Demi Lovato
Vaina Loca,Ozuna x Manuel Turizo
Pretty Little Fears,6LACK Featuring J. Cole
Mercy,Brett Young
Side Effects,The Chainsmokers Featuring Emily Warren
Cry Pretty,Carrie Underwood
Kamikaze,Eminem
Mine,Bazzi
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
Hurt Feelings,Mac Miller
Greatest,Eminem
Come Back To Earth,Mac Miller
IDOL,BTS Featuring Nicki Minaj
Feels Like Summer,Childish Gambino
I'm Upset,Drake
Narcos,Migos
Normal,Eminem
Stepping Stone,Eminem
Nice Guy,Eminem & Jessie Reyez
I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir
Summertime Magic,Childish Gambino
Friends,Marshmello & Anne-Marie
Never Be The Same,Camila Cabello
One Kiss,Calvin Harris & Dua Lipa
Moonlight,XXXTENTACION
Get Along,Kenny Chesney
Unica,Ozuna
Changes,XXXTENTACION
Happy Now,Zedd & Elley Duhe
Level Up,Ciara
Taking A Walk,Trippie Redd
Don't Go Breaking My Heart,Backstreet Boys
Mob Ties,Drake
Wasted,Juice WRLD Featuring Lil Uzi Vert
Sin Pijama,Becky G + Natti Natasha
This Is America,Childish Gambino
In My Blood,Shawn Mendes
Sweetener,Ariana Grande
Everytime,Ariana Grande
R.E.M,Ariana Grande
Kiss Somebody,Morgan Evans
Goodnight N Go,Ariana Grande
Made For Now,Janet & Daddy Yankee
The Light Is Coming,Ariana Grande Featuring Nicki Minaj
Growing Pains,Alessia Cara
Take Back Home Girl,Chris Lane Featuring Tori Kelly
Pete Davidson,Ariana Grande
Chun-Li,Nicki Minaj
Ganja Burns,Nicki Minaj
Be Careful,Cardi B
Stop Trying To Be God,Travis Scott
Can't Say,Travis Scott
R.I.P Screw,Travis Scott
No Bystanders,Travis Scott
Carousel,Travis Scott
Album Of The Year (Freestyle),J. Cole
5% Tint,Travis Scott
Have It All,Jason Mraz
Nevermind,Dennis Lloyd
Thought I Knew You,Nicki Minaj Featuring The Weeknd
NC-17,Travis Scott
Who? What!,Travis Scott
Skeletons,Travis Scott
Astrothunder,Travis Scott
Butterfly Effect,Travis Scott
Houstonfornication,Travis Scott
Coffee Bean,Travis Scott
Could've Been,H.E.R. Featuring Bryson Tiller
Up Down,Morgan Wallen Featuring Florida Georgia Line
I Was Jack (You Were Diane),Jake Owen
Coming Home,Keith Urban Featuring Julia Michaels
Handgun,YG Featuring A$AP Rocky
Whatever It Takes,Imagine Dragons
Look Alive,BlocBoy JB Featuring Drake
Sober,Demi Lovato
Sit Next To Me,Foster The People
One Number Away,Luke Combs
Don't Matter To Me,Drake Featuring Michael Jackson
Ocean,TK Kravitz Featuring Jacqueez
One Day,Logic Featuring Ryan Tedder
Freaky Friday,Lil Dicky Featuring Chris Brown
Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta
Ball For Me,Post Malone Featuring Nicki Minaj
Call Out My Name,The Weeknd
All Mine,Kanye West
Ocean,Martin Garrix Featuring Khalid
Karma,Queen Naija
X,Nicky Jam x J Balvin
I Might Need Security,Chance The Rapper
Emotionless,Drake
Can't Take A Joke,Drake
Elevate,Drake
Fr Fr,Wiz Khalifa Featuring Lil Skies
Blue Tint,Drake
After Dark,Drake Featuring Static Major & Ty Dolla $ign
Alone,Halsey Featuring Big Sean & Stefflon Don
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Zombie,Bad Wolves
8 Out Of 10,Drake
31 Days,Future
Talk Up,Drake Featuring JAY-Z
Wifi Lit,Future
Jocelyn Flores,XXXTENTACION
Sandra's Rose,Drake
Summer Games,Drake
Jaded,Drake
That's How You Feel,Drake
Survival,Drake
Cuddle My Wrist,Future
Millidelphia,Meek Mill Featuring Swizz Beatz
Racks Blue,Future
Finesse,Drake
Drug Addicts,Lil Pump
KOD,J. Cole
Peak,Drake
Kream,Iggy Azalea Feauring Tyga
Is There More,Drake
Ratchet Happy Birthday,Drake
Final Fantasy,Drake
14-Mar,Drake
Done For Me,Charlie Puth Featuring Kehlani
Esskeetit,Lil Pump
Everybody Dies In Their Nightmares,XXXTENTACION
Yikes,Kanye West
Downtown's Dead,Sam Hunt
Japan,Famous Dex
Me Niego,Reik Featuring Ozuna & Wisin
The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION
I Lived It,Blake Shelton
Plug Walk,Rich The Kid
Walk It Talk It,Migos Featuring Drake
Rockstar,Post Malone Featuring 21 Savage
F**k Love,XXXTENTACION Featuring Trippie Redd
Heaven,Kane Brown
New Rules,Dua Lipa
Wait,Maroon 5
Dura,Daddy Yankee
Bigger > You,"2 Chainz, Drake & Quavo"
Say Amen (Saturday Night),Panic! At The Disco
Hope,XXXTENTACION
TATI,6ix9ine Featuring DJ SPINKING
Fake Love,BTS
I Know You,Lil Skies Featuring Yung Pinch
Numb,XXXTENTACION
Powerglide,Rae Sremmurd & Juicy J
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert
Overdose,YoungBoy Never Broke Again
"Woman, Amen",Dierks Bentley
Born To Be Yours,Kygo & Imagine Dragons
Boss,The Carters
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
DDU-DU DDU-DU,BLACKPINK
IDGAF,Dua Lipa
Pray For Me,The Weeknd & Kendrick Lamar
Summer,The Carters
Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward"
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks
Reborn,KIDS SEE GHOSTS
Nice,The Carters
Cop Shot The Kid,Nas Featuring Kanye West
Friends,The Carters
4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima
Feel The Love,KIDS SEE GHOSTS
You Make It Easy,Jason Aldean
"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS
Fire,KIDS SEE GHOSTS
Cudi Montage,KIDS SEE GHOSTS
KIDS SEE GHOSTS,KIDS SEE GHOSTS
Violent Crimes,Kanye West
El Farsante,Ozuna & Romeo Santos
Babe,Sugarland Featuring Taylor Swift
Singles You Up,Jordan Davis
I Thought About Killing You,Kanye West
No Mistakes,Kanye West
Finesse,Bruno Mars & Cardi B
Must've Never Met You,Luke Combs
Humility,Gorillaz Featuring George Benson
Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West
Rich & Sad,Post Malone
Shoota,Playboi Carti Featuring Lil Uzi Vert
Lust,Lil Skies
Paranoid,Post Malone
New Freezer,Rich The Kid Featuring Kendrick Lamar
All The Stars,Kendrick Lamar & SZA
Ric Flair Drip,Offset & Metro Boomin
A$AP Forever,A$AP Rocky Featuring Moby
Infrared,Pusha T
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
If You Know You Know,Pusha T
What Would Meek Do?,Pusha T Featuring Kanye West
Youth,Shawn Mendes Featuring Khalid
Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B
For The First Time,Darius Rucker
Most People Are Good,Luke Bryan
Everyday,Logic & Marshmello
Spoil My Night,Post Malone Featuring Swae Lee
The Games We Play,Pusha T
Change Lanes,Kevin Gates
Like That,Kris Wu
Southside,Lil Baby
Let It Sing,Kevin Gates
Sangria Wine,Pharrell Williams x Camila Cabello
Champion,NAV Featuring Travis Scott
Red Roses,Lil Skies Featuring Landon Cube
Stay,Post Malone
ATM,J. Cole
Kevin's Heart,J. Cole
No Excuses,Meghan Trainor
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty
Outside Today,YoungBoy Never Broke Again
Stir Fry,Migos
Over Now,Post Malone
Zack And Codeine,Post Malone
Same Bitches,Post Malone Featuring G-Eazy & YG
When We,Tank
Takin' Shots,Post Malone
92 Explorer,Post Malone
Say Something,Justin Timberlake Featuring Chris Stapleton
Barbie Tingz,Nicki Minaj
Otherside,Post Malone
Blame It On Me,Post Malone
Diamond Teeth Samurai,YoungBoy Never Broke Again
Famous,Mason Ramsey
I Do,Cardi B Featuring SZA
Preach,YoungBoy Never Broke Again
Candy Paint,Post Malone
Sugar Wraith,Post Malone
Motiv8,J. Cole
Jonestown (Interlude),Post Malone
1985 (Intro To The Fall Off),J. Cole
Photograph,J. Cole
Ye vs The People,Kanye West Featuring T.I.
The Cut Off,J. Cole Featuring kiLL edward
Brackets,J. Cole
