song,artist,dateRank,lyrics
It Kills Me,Melanie Fiona,"{'2010-01-09': 70, '2010-01-02': 49}","6 ContributorsIt Kills Me Lyrics[Intro]
Oh yeah

[Verse 1]
I've got trouble with my friends
Trouble in my life
Problems when you don't come home at night
But when you do, you always start a fight
But I can't be alone
I need you to come on home
I know you're messin' around
But who the hell else is gonna hold me down?

[Chorus]
I've gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other side still believes
And it kills me, to know how much I really love you
So much, I wanna ooh-ooh-ooh
To you-hoo-hoo
(Oh, oh, oh, oh)

[Verse 2]
Should I grab his cell, call this chick up?
Start some shhhh, then hang up?
Or should I be a lady?
Ooh, maybe, 'cause I wanna have his babies
Oh, yeah, yeah, yeah
'Cause I don't wanna be alone
I don't need to be on my own
But I love this man
But some things I just can't stand, no
You might also like[Chorus]
I've gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other half still believes
And it kills me, to know how much I really love you
So much, I wanna ooh-ooh-ooh (Ooh)
To you-hoo-hoo

[Bridge]
Should I pay him back? (Back)
To see how he'll react, ay-ooh (Ay-ooh)
To see if he'll react to my love (My love)
My love
(Oh, oh, ooh)

[Chorus]
I've gotta be out my mind
To think it's gonna work this time
A part of me wants to leave
But the other side still believes
And it kills me (Oh), to know how much I really love you (So much)
So much, I wanna ooh-ooh-ooh
To you-hoo-hoo
Oh, and it kills me (Kills me), to know how much I really love you (To know how much, how much)
So much, I wanna ooh-ooh-ooh (I love you)
To you-hoo-hoo (To you-hoo-hoo)6Embed"
You Belong With Me,Taylor Swift,"{'2010-01-09': 19, '2010-01-02': 22}","125 ContributorsTranslationsEspañolPortuguêsNederlandsΕλληνικάFrançaisYou Belong With Me Lyrics[Verse 1]
You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

[Pre-Chorus]
But she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find
That what you're looking for has been here the whole time

[Chorus]
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me, you belong with me

[Verse 2]
Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
Hey, isn't this easy?
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, whatcha doing with a girl like that?
See Taylor Swift LiveGet tickets as low as $61You might also like[Pre-Chorus]
She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find
That what you're looking for has been here the whole time

[Chorus]
If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me

[Bridge]
Oh, I remember you driving to my house
In the middle of the night
I'm the one who makes you laugh
When you know you're 'bout to cry
And I know your favorite songs
And you tell me 'bout your dreams
Think I know where you belong
Think I know it's with me

[Chorus]
Can't you see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standing by and waiting at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me
[Outro]
You belong with me
Have you ever thought just maybe
You belong with me?
You belong with me97Embed"
Try Sleeping With A Broken Heart,Alicia Keys,"{'2010-01-09': 55, '2010-01-02': 27}","23 ContributorsTry Sleeping with a Broken Heart Lyrics[Intro]
Let's do it, baby, let's do it, baby
Let's do it, do it

[Verse 1]
Even if you were a million miles away
I could still feel you in my bed
Near me, touch me, feel me
And even at the bottom of the sea
I could still hear inside my head
Tellin' me, touch me, feel me

[Pre-Chorus]
And all the time, you were tellin' me lies

[Chorus]
So tonight, I'm gonna find a way to make it without you
Tonight, I'm gonna find a way to make it without you
I'm gonna hold on to the times that we had tonight
I'm gonna find a way to make it without you

[Verse 2]
Have you ever tried sleeping with a broken heart?
Well, you could try sleeping in my bed
Lonely, only nobody ever shut it down like you
You wore the crown
You made my body feel heaven bound
Why don't you hold me?
Near me, I thought you told me
You'd never leave me
Looking in the sky, I could see your face
And I know right where I fit in
Take me, make me, you know that I'll always be in love
With you
Right 'til the end
Oh
You might also like[Chorus]
So tonight, I'm gonna find a way to make it without you
Tonight, I'm gonna find a way to make it without you
I'm gonna hold on to the times that we had tonight
I'm gonna find a way to make it without you

[Bridge]
Anybody could've told you right from the start
It's 'bout to fall apart
So rather than hold on to a broken dream
I'll just hold on to love
And I could find a way to make it
Don't hold on too tight
I'll make it without you tonight

[Chorus]
So tonight, I'm gonna find a way to make it without you
Tonight, I'm gonna find a way to make it without you
I'm gonna hold on to the times that we had tonight
I'm gonna find a way to make it without you

[Outro]
Oh, Lord
Have you ever tried sleepin' with a
Without my love
Have you ever tried, have you ever tried?5Embed"
Down,Jay Sean Featuring Lil Wayne,"{'2010-01-09': 7, '2010-01-02': 8}","63 ContributorsDown Lyrics[Intro: Jay Sean]
Baby, are you down, down, down, down, down?
Down, down
Even if the sky is falling down
Down, down (Ooh-ooh-ooh)

[Verse 1: Jay Sean]
You oughta know
Tonight is the night to let it go
Put on a show
I wanna see how you lose control

[Pre-Chorus: Jay Sean]
So leave it behind
'Cause we have a night to get away
So come on and fly with me
As we make our great escape

[Chorus: Jay Sean]
So baby, don't worry
You are my only
You won't be lonely
Even if the sky is falling down
You'll be my only
No need to worry
Baby, are you down, down, down, down, down?
(Down, down)
Baby, are you down, down, down, down, down?
(Down, down)
Even if the sky is falling down
You might also like[Verse 2: Jay Sean]
Just let it be
Come on and bring your body next to me
I'll take you away-ay
Turn this place into our private getaway

[Pre-Chorus: Jay Sean]
So leave it behind
'Cause we have a night to get away
So come on and fly with me
As we make our great escape
So why don't we run away?

[Chorus: Jay Sean, with Lil Wayne]
Baby, don't worry (Away)
You are my only (Oh-ooh)
You won't be lonely (No)
Even if the sky is falling down
You'll be my only (Yeah)
No need to worry (No)
Baby, are you down, down, down, down, down?
(Down, down) Woo!
Baby, are you down, down, down, down, down?
(Down, down) Mmh, you down?
Even if the sky is falling down
[Verse 3: Lil Wayne]
Like she supposed to be, she gets down low for me
Down like her temperature, 'cause to me she zero degree
She cold, over-freeze, I got that girl from overseas
Now she my Miss America, now can I be her soldier, please?
I'm fightin' for this girl on the battlefield of love
Don't it look like baby cupid sending arrows from above?
Don't you ever leave the side of me, indefinitely, not probably
And honestly, I'm down like the economy
Yeah!!

[Chorus: Jay Sean, Lil Wayne]
Baby, don't worry
You are my only
You won't be lonely (Whoa!)
Even if the sky is falling down (Young Mula, baby)
You'll be my only (No-ooh)
No need to worry (No-ooh)
Baby, are you down, down, down, down, down? (And the sky is falling down)
(Down, down) Mmh, down (Down, down)
Baby, are you down, down, down, down, down? (Are you down, are you down too?)
(Down, down) Ooh, no-ooh, and the sky is falling down
Even if the sky is falling down

[Outro: Jay Sean, Lil Wayne]
Ooh, no-ooh, and the sky is falling down
C332Embed"
Someday,Rob Thomas,"{'2010-01-09': 84, '2010-01-02': 74}","8 ContributorsSomeday Lyrics[Verse 1]
You can go
You can start all over again
You can try to find a way to make another day go by
You can hide
Hold all your feelings inside
You can try to carry on when all you wanna do is cry

[Chorus]
And maybe someday we'll figure all this out
Try to put an end to all our doubt
Try to find a way to make things better now that
Maybe someday we'll live our lives out loud
We'll be better off somehow, someday

[Verse 2]
Now we wait
And try to find another mistake
If you throw it all away, then maybe you can change your mind
You can run (run, run)
And when everything is over and done
You can shine a little light on everything around you
Man, it's good to be someone

[Chorus]
And maybe someday we'll figure all this out
Try to put an end to all our doubt
Try to find a way to make things better now that
Maybe someday we'll live our lives out loud
We'll be better off somehow, someday
See Rob Thomas LiveGet tickets as low as $179You might also like[Bridge]
I don't wanna wait
I just wanna know
I just wanna hear you tell me so
Give it to me straight
Tell it to me slow

[Chorus]
'Cause maybe someday we'll figure all this out
We'll put an end to all our doubt
Try to find a way to just to feel better now that
Maybe someday we'll live our lives out loud
We'll be better off somehow, someday

[Outro]
'Cause sometimes we don't really notice
Just how good it can get
So maybe we should start all over
Start all over, again
'Cause sometimes we don't really notice
Just how good it can get
So maybe we should start all over
Start all over, again8Embed"
Why Don't We Just Dance,Josh Turner,"{'2010-01-09': 74, '2010-01-02': 64}","6 ContributorsWhy Don’t We Just Dance Lyrics[Verse 1]
Baby why don't we just turn that TV off?
Three hundred fifteen channels
Of nothing but bad news on
Well, it might be me, but the way I see it
The whole wide world has gone crazy
So baby, why don't we just dance?

[Verse 2]
Guess the little bitty living room ain't going to look like much
When the lights go down and we move the couch
It's going to be more than enough
For my two left feet and our two hearts beating
Nobody's going to see us go crazy
So baby, why don't we just dance?

[Chorus]
Down the hall, maybe straight up the stairs
Bouncing off the wall, floating on air
Baby, why don't we just dance?

[Verse 3]
Baby, why don't you go put your best dress on?
Those high heeled shoes you love to lose
As soon as the tunes come on
On second thought, just the way you are
Is already driving me crazy
So baby, why don't we just dance?
See Josh Turner LiveGet tickets as low as $46You might also like[Chorus]
Down the hall, maybe straight up the stairs
Bouncing off the wall, floating on air
Baby, why don't we just dance?
I'll cut a rug

[Outro]
Well it might be me but the way I see it
The whole wide world has gone crazy
So baby, why don't we just dance?
Oh baby, why don't we just dance?2Embed"
I Wanna Rock,Snoop Dogg,"{'2010-01-09': 89, '2010-01-02': 75}","24 ContributorsI Wanna Rock Lyrics[Intro: Sample courtesy of ""It Takes Two"" by Rob Base & DJ EZ Rock]
Right about now!

[Crowd Chanting]
Snoop! Dogg! Snoop! Dogg! Snoop! Dogg!

[Hook: Crowd Chanting] (Sample of ""It Takes Two"" by Rob Base & DJ EZ Rock)
Hey! Hey! Hey! Hey! (I wanna rock right now, rock-rock-right now)
Hey! Hey! Hey! Hey! (I wanna rock right now, rock-rock-right now)

[Verse 1: Snoop Dogg]
It's ya Eastside partner, Big Snoopy D-O
Turned like D-lo, catch me on your TiVo
Long Beach with me, the city and the turf chump
Get turf stomped, fuckin with the turf punk
I'm geeked up, I'm on my tip ho
Turn it up bee-itch, what you here foe?
I'm goin all in, that's what I do
My little niggas jerkin, what's up with you?
This little rappin ass, niggas tappin out
I'm almost twenty in, the fuck you rappin 'bout?!
My niggas peeled up, the homeys growin big
I'm all in the club rollin twenty crips
You see a G, you better know the deal
You see the fellas fool, I'm in the streets for real
I'm giggin' on these hoes, do 'em like dominos
I slam 'em on they back, and tell 'em ""vamonos""
You might also like[Hook: Sample of ""It Takes Two"" by Rob Base & DJ EZ Rock] (Crowd Chanting)
I wanna rock right now, rock-rock-right now
I wanna rock right now, rock-rock-right now
I wanna rock right now, rock-rock-right now (Snoop! Dogg!)
I wanna rock right now, rock-rock-right now (Snoop! Dogg! Snoop! Dogg!)
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now

[Verse 2: Snoop Dogg]
I see 'em comin huh, that's what I heard em said
The .38 the same color's the Chevrolets'
501s' on, gangsta lookin good
I'm in the club holmes, Chuck'n up the hood
We the West boy, yeah you see the shirt
Smokin on that Kobe, fuckin wit that purp
I gotta get 'er mayne, baby hella thick
She said her name was Seven, call me Michael Vick {*panting*}
Cause I'm a dog, ho, give 'em the dick and dash
Fuck whatchu called fo', if I ain't hit dat ass
I'm Snoopy D-O-Dubb, I get it poppin cuz
And when I'm in the buildin, they get to poppin up
They get to spendin cash, screamin T.I.U
Now gon' Turn It Up, lil' mama look at you!
I'm giggin on these hoes, do 'em like dominoes
And slam 'em on they back, and tell 'em ""vamonos""
[Hook: Sample of ""It Takes Two"" by Rob Base & DJ EZ Rock] (Crowd Chanting)
I wanna rock right now, rock-rock-right now (Snoop! Dogg!)
I wanna rock right now, rock-rock-right now (Snoop! Dogg! Snoop! Dogg!)
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now

[Verse 3: Snoop Dogg]
Boss Dogg chillin, lookin like a million
Yeah, nigga got it, I'mma leave it
To my chil'ren
Tonight I'm on some other shit, and baby lovin it
Hella fast, grip dey ass like the oven mitt
I'm gooned up, boy! Rich as fuck, boy!
Black and gold brakes, that's my truck, boy
I'm on my Eastside, shit I'm workin
I got the party goin, and it's jerkin
My niggas all long, we rollin out deck
Hoes gettin in, you betta pick a bitch
Cause when I shut it down, the party's over wit
She call me Superman, I'm on my Soulja shit (Yooooou!)
Boss Dogg, get 'em, I sick 'em and take 'em home
West Coast bitch, I'm on my fuckin throne
I'm giggin on these hoes, do 'em like dominoes
And slam 'em on they back, and tell 'em ""vamonos""
[Hook: Sample of ""It Takes Two"" by Rob Base & DJ EZ Rock] (Crowd Chanting)
I wanna rock right now, rock-rock-right now (Snoop! Dogg!)
I wanna rock right now, rock-rock-right now (Snoop! Dogg! Snoop! Dogg!)
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now
(Hey! Hey! Hey! Hey!) I wanna rock right now, rock-rock-right now
I Wanna rock right now2Embed"
American Saturday Night,Brad Paisley,{'2010-01-02': 86},"16 ContributorsAmerican Saturday Night Lyrics[Intro]
(Whoa oh oh oh)
(Whoa oh oh oh)

[Verse 1]
She's got Brazilian leather boots on the pedal of her German car
Listening to The Beatles singing ""Back in the USSR""
She's going around the world tonight but she ain't leaving here
She's just going to meet her boyfriend down at the street fair

[Chorus]
And it's a French kiss, Italian ice
Spanish moss in the moonlight (whoa oh oh oh)
Just another American Saturday night

[Verse 2]
There's a big toga party tonight down at Delta Chi
They got Canadian bacon on their pizza pie
They got a cooler full of cold Coronas and Amstel Light
It's like we're all living in a big old cup
Just fire up the blender, mix it all up

[Chorus]
It's a French kiss, Italian ice
Margaritas in the moonlight (whoa oh oh oh)
Just another American Saturday night
See Brad Paisley LiveGet tickets as low as $131You might also like[Bridge 1]
You know everywhere has something they're known for
Although usually it washes up on our shores
My great-great-great-granddaddy stepped off of that ship
I bet he never ever dreamed we'd have all this

[Bridge 2]
You know everywhere has something they're known for
Although usually it washes up on our shores
Little Italy and Chinatown sitting there side by side
Live from New York
(It's Saturday Night!)

[Chorus]
It's a French kiss, Italian ice
Spanish moss in the moonlight (whoa oh oh oh)
Just another American, I'm just another American
And it's just another American Saturday night3Embed"
The Truth,Jason Aldean,"{'2010-01-09': 54, '2010-01-02': 48}","7 ContributorsThe Truth Lyrics[Verse 1]
Tell 'em all I'm on vacation
Say I went to visit friends
That you ain't heard or seen from me in quite a while
When they ask you where I've been
Tell 'em I'm out on the West Coast
Where it don't ever rain
And that I'm probably doing fine

[Chorus]
Just don't tell 'em I've gone crazy
That I'm still strung out over you
Tell 'em anything you want to
Just don't tell 'em all the truth
Yeah, don't tell 'em all the truth

[Verse 2]
Tell 'em all I'm out in Vegas
Blowing every dollar I ever made
Tell 'em that I must be into something bad for me
'Cause I sure lost a lot of weight
Tell 'em I'm out on the road
With some old rock and roll band
Living like a gypsy king

[Chorus]
Just don't tell 'em I've gone crazy
That I'm still strung out over you
Tell 'em anything you want to
Just don't tell 'em all the truth
Yeah, don't tell 'em all the truth
See Jason Aldean LiveGet tickets as low as $17You might also like[Bridge]
The truth is that I'm asking you to lie
And we both know that it ain't right
But if you ever loved me
Please have some mercy on me
Yeah, yeah, yeah, yeah

[Chorus]
Tell 'em anything you want to
Just don't tell 'em all the truth
Yeah, don't tell 'em all the truth
I still need you

[Outro]
Yeah, that's the truth
I still love you
Baby, that's the truth3Embed"
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,"{'2010-01-09': 10, '2010-01-02': 14}","19 ContributorsDo You Remember Lyrics[Intro: Lil Jon, Jay Sean, Sean Paul]
Hey! Jay Sean, hey! (Mmh, yeah)
Sean Paul
Lil Jon, ah!
This one right here (Alright)
Is for all the ladies (Alright)
Ladies, who want to take it back (Oh no)
Holler at 'em, Jay!

[Verse 1: Jay Sean]
I've been thinking about you
And how we used to be, yeah
Back when, it didn't have to end
We can start again

[Pre-Chorus: Jay Sean, Lil Jon]
There's nothing left to say
Don't waste another day
Just you and me tonight
Everything will be okay
If it's alright with you
Then it's alright with me
Baby let's take this time
Let's make new memories
(Let's go!)
You might also like[Chorus: Jay Sean, Lil Jon]
Do you remember?
Do you remember?
Do you remember?
All of the times we had
Do you remember?
Do you remember?
Do you remember?
All of the times we had
Let's bring it back, oh oh (Bring it back!)
Let's bring it back, oh oh (Bring it back!)
Let's bring it back, oh oh (Bring it back!)
Let's bring it back, oh oh (Bring it back!)
Let's bring it back

[Break: Lil Jon]
Yo Jay, sing to these ladies!

[Verse 2: Jay Sean, Lil Jon]
So long, since you've been missing
It's good to see you again
How are you? How ya doin'?
And how about we, don't let this happen again
(Let's go!)

[Pre-Chorus: Jay Sean, Lil Jon]
There's nothing left to say
Don't waste another day
Just you and me tonight
Everything will be okay
If it's alright with you (Hey!)
Then it's alright with me (Oh, oh, oh-ooh) (Hey!)
Baby let's take this time (Hey!)
Let's make new memories
(Let's go!)
[Chorus: Jay Sean, Lil Jon, Sean Paul]
Do you remember?
Do you remember? (Hey!)
Do you remember? (Oh-oh, ooh, yeah)
All of the times we had
Do you remember? (Do you remember?) (Hey!)
Do you remember? (Do you remember?)
Do you remember? (Oh oh) (Hey!)
All of the times we had (Do you remember?)
Let's bring it back, oh oh (Bring it back!)
Let's bring it back, oh oh (Bring it back!)
Let's bring it back, oh oh (Bring it back!) (Back)
Let's bring it back, oh oh (Bring it back!) (Yo)
Let's bring it back (Ay girl, yo)

[Verse 3: Sean Paul]
Bring it back to the time when you and me had just begun
When I was still your number one
Well it might seem far-fetched baby girl, but it can be done
I've got this feeling fire blazing and it's hot just like the sun
Know you feel it too, my girl
Just free it up, may the good vibes run
Girl take a sip of the champagne
Take a likkle trip down my lane my girl
While you know every night you'll feel alright
Look, I tell you this girl atta my world
Don't change, I'ma not rearrange that girl
Mek mi tell you this straight atta my world
A mi hear seh you want, come kiss this, girl, do you miss this?
[Bridge: Sean Paul, Jay Sean]
That's what I heard
That's what I heard (Mmh...)
That's what I heard
Word, girl (Tonight)

[Pre-Chorus: Jay Sean, Lil Jon]
There's nothing left to say
Don't waste another day (Don't waste another day, no) (Hey!)
Just you and me tonight (Hey!)
Everything will be okay (Hey!)
If it's alright with you (Hey!)
Then it's alright with me (Hey!)
Baby let's take this time (Hey!)
Let's make new memories
(Let's go!)

[Chorus: Jay Sean, Lil Jon]
Do you remember?
Do you remember?
Do you remember?
All of the times we had (All of the times)
Do you remember? (Hey!)
Do you remember? (Do you remember?)
Do you remember? (Whoa) (Hey!)
All of the times we had (Do you remember?)
Let's bring it back, oh oh (Let's bring it back, yeah)
Let's bring it back, oh oh (Bring it back)
Let's bring it back, oh oh (Let's bring it back, yeah)
Let's bring it back, oh oh
Let's bring it back17Embed"
Whatcha Say,Jason Derulo,"{'2010-01-09': 6, '2010-01-02': 7}","61 ContributorsTranslationsEnglishWhatcha Say Lyrics[Intro]
Wha-wha-wha-wha-what did you say?
(J-J-J-J-J.R.)

[Chorus]
Mmm, whatcha say
Mmm, that you only meant well?
Well, of course you did
Mmm, whatcha say (Jason Derulo)
Mmm, that it's all for the best?
Of course, it is

[Verse 1]
I (I) was so wrong (Wrong) for so long (Long)
Only tryna please myself (Myself)
Girl, I (I) was caught up (Up) in her lust (Lust)
When I don't really want no one else, so no
I know I should have treated you better (Better)
But me and you were meant to last forever (Forever)
So let me in (Let me in), give me another chance (Another chance)
To really be your man (Oh)

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do
But when I become a star, we'll be living so large
I'll do anything for you
So tell me, girl
See Jason Derulo LiveGet tickets as low as $61You might also like[Chorus]
Mmm, whatcha say
Mmm, that you only meant well?
Well, of course you did
Mmm, whatcha say (Whatcha say, whatcha say)
Mmm, that it's all for the best?
Of course it is
Mmm, whatcha say
Mmm, that you only meant well?
Well, of course you did
Mmm, whatcha say (Whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Verse 2]
How (How) could I live (Live) with myself (Self)
Knowing that I let our love go? (Love go)
And ooh (Ooh), what I'd do (Do) with one chance (Chance)
I just gotta let you know
I know what I did wasn't clever
But me and you we're meant to be together
So let me in (Let me in), give me another chance (Another chance)
To really be your man

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do
But when I become a star, we'll be living so large
I'll do anything for you
So tell me, girl
[Chorus]
Mmm, whatcha say
Mmm, that you only meant well?
Well of course you did
Mmm, whatcha say (Whatcha say, whatcha say)
Mmm, that it's all for the best?
Of course it is
Mmm, whatcha say
Mmm, that you only meant well?
Well of course you did
Mmm, whatcha say (Whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Bridge]
Girl, tell me what to say, I (Say, I)
I don't want you to leave me, though you caught me cheating
Tell me, tell me what to say, I (Say, I)
I really need you in my life 'cause things ain't right, girl
Girl, tell me what to say, I (Say, I)
I don't want you to leave me, though you caught me cheating
Tell me, tell me what to say, I (Say, I)
I really need you in my life 'cause things ain't right

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do (I just didn't know what to do)
But when I become a star we'll be living so large, I'll do anything for you
So baby, whatcha say
[Chorus]
Mmm, whatcha say
Mmm, that you only meant well? (Well, of course I did, baby)
Well, of course you did
Mmm, whatcha say (Whatcha say, whatcha say)
Mmm, that it's all for the best?
Of course it is (Well, of course it is)
Mmm, whatcha say (What did you say?)
Mmm, that you only meant well?
Well of course you did (Whoa-oh-oh-oh)
Mmm, whatcha say (Whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Outro]
(Beluga Heights)32Embed"
1901,Phoenix,"{'2010-01-09': 90, '2010-01-02': 90}","49 Contributors1901 Lyrics[Verse 1]
Counting all different ideas drifting away
Past and present, they don't matter, now the future's sorted out
Watch her moving in elliptical patterns
Think it's not what you say, what you say is way too complicated
For a minute, thought I couldn't tell how to fall out

[Chorus]
It's twenty seconds 'til the last call
You're going, ""Hey, hey, hey, hey, hey, hey""
Lie down, you know it's easy
Like we did it over summer long
And I'll be anything you ask and more
Going, ""Hey, hey, hey, hey, hey, hey, hey""
It's not a miracle we needed
And no, I wouldn't let you think so
Fold it, fold it, fold it, fold it

[Verse 2]
Girlfriend, oh, your girlfriend is drifting away
Past and present, 1855-1901
Watch them built up a material tower
Think it's not going to stay anyway, think it's overrated
For a minute, thought I couldn't tell how to fall out

[Chorus]
It's twenty seconds 'til the last call
You're going, ""Hey, hey, hey, hey, hey, hey""
Lie down, you know it's easy
Like we did it over summer long
And I'll be anything you ask and more
Going, ""Hey, hey, hey, hey, hey, hey, hey""
It's not a miracle we needed
No, I wouldn't let you think so
Fold it, fold it, fold it, fold it
See Phoenix LiveGet tickets as low as $54You might also like[Outro]
Fold it, fold it, fold it, fold it
Fold it, fold it, fold it, fold it
Fold it, fold it, fold it, fold it43Embed"
Fireflies,Owl City,"{'2010-01-09': 4, '2010-01-02': 5}",
Vanilla Twilight,Owl City,{'2010-01-09': 72},"54 ContributorsTranslationsPortuguêsVanilla Twilight Lyrics[Verse 1]
The stars lean down to kiss you
And I lie awake and miss you
Pour me a heavy dose of atmosphere
'Cause I'll doze off safe and soundly
But I'll miss your arms around me
I'd send a postcard to you, dear
'Cause I wish you were here

[Verse 2]
I'll watch the night turn light blue
But it's not the same without you
Because it takes two to whisper quietly
The silence isn't so bad
'Til I look at my hands and feel sad
'Cause the spaces between my fingers
Are right where yours fit perfectly
I'll find repose in new ways
Though I haven't slept in two days
'Cause cold nostalgia chills me to the bone
But drenched in vanilla twilight
I'll sit on the front porch all night
Waist-deep in thought because when I think of you
I don't feel so alone

[Bridge]
I don't feel so alone
I don't feel so alone
As many times as I blink, I'll think of you
Tonight (Tonight, tonight, tonight)
I'll think of you tonight
You might also like[Verse 3]
When violet eyes get brighter
And heavy wings grow lighter
I'll taste the sky and feel alive again
And I'll forget the world that I knew
But I swear I won't forget you
Oh, if my voice could reach back through the past
I'd whisper in your ear
""Oh darling, I wish you were here""

[Instrumental Outro]29Embed"
History In The Making,Darius Rucker,"{'2010-01-09': 81, '2010-01-02': 66}","5 ContributorsHistory In the Making Lyrics[Verse 1]
Do not move, baby Do not move
Ah, look at you; I just want to take this in
The moonlight dancing off your skin

Our time let us take our time
I just want to look in your eyes and catch my breath
Because I got a feeling

[Chorus]
This could be a one of those memories
We want to hold on to, cling to, the one we cannot forget
Baby this could be our last first kiss, the door to forever
What if this was that moment, that chance we are taking?
History in the making

[Verse 2]
Inside, baby inside
Can you feel the butterflies floating all around?
Because I can sure feel it now

Tonight, maybe tonight
Is the start of a beautiful ride that will never end
And baby I got a feeling

[Chorus]
This could be a one of those memories
We want to hold on to, cling to, the one we cannot forget
Baby this could be our last first kiss, the door to forever
What if this was that moment, that chance we are taking?
History in the making
See Darius Rucker LiveGet tickets as low as $70You might also like[Interlude]
Right here, right now
Holding you in my arms

[Chorus]
This could be a one of those memories
We want to hold on to, cling to, the one we cannot forget
Baby this could be our last first kiss, the door to forever
What if this was that moment, that chance we are taking?
History in the makingEmbed"
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,"{'2010-01-09': 20, '2010-01-02': 23}","22 ContributorsTwo Is Better Than One Lyrics[Verse 1: Martin Johnson]
I remember what you wore on the first day
You came into my life and I thought
""Hey, you know, this could be something""
'Cause everything you do and words you say
You know that it all takes my breath away
And now I'm left with nothing

[Chorus: Martin Johnson & Taylor Swift]
So maybe it's true that I can't live without you
And maybe two is better than one
But there's so much time to figure out the rest of my life
And you've already got me coming undone
And I'm thinking two is better than one

[Verse 2: Martin Johnson & Taylor Swift]
I remember every look upon your face
The way you roll your eyes, the way you taste
You make it hard for breathing
'Cause when I close my eyes and drift away
I think of you and everything's okay
I'm finally now believing

[Chorus: Martin Johnson & Taylor Swift]
Then maybe it's true that I can't live without you
And maybe two is better than one
But there's so much time to figure out the rest of my life
And you've already got me coming undone
And I'm thinking two is better than one
See BOYS LIKE GIRLS LiveGet tickets as low as $23You might also like[Bridge: Martin Johnson]
I remember what you wore on the first day
You came into my life and I thought, hey (Hey, hey)

[Chorus: Martin Johnson & Taylor Swift]
Maybe it's true that I can't live without you
And maybe two is better than one
But there's so much time to figure out the rest of my life
And you've already got me coming undone

[Outro: Martin Johnson & Taylor Swift]
And I'm thinking, ooh, I can't live without you
'Cause, baby, two is better than one
There's so much time to figure out the rest of my life
But I'll figure out with all that's said and done
Two is better than one
Two is better than one12Embed"
If You Only Knew,Shinedown,"{'2010-01-09': 47, '2010-01-02': 46}","14 ContributorsIf You Only Knew Lyrics[Verse 1]
If you only knew
I'm hangin' by a thread, the web I spin for you
If you only knew
I'd sacrifice my beating heart before I'd lose you

[Pre-Chorus]
I still hold on to the letters
You returned, I swear I've lived and learned

[Chorus]
It's 4:03 and I can't sleep
Without you next to me I toss and turn like the sea
If I drown tonight, bring me back to life
Breathe your breath in me
The only thing that I still believe in is you
If you only knew

[Verse 2]
If you only knew
How many times I counted all the words that went wrong
If you only knew
How I refuse to let you go even when you're gone

[Pre-Chorus]
I don't regret any days I spent
Nights we shared, or letters that I sent
See Shinedown LiveGet tickets as low as $91You might also like[Chorus]
It's 4:03 and I can't sleep
Without you next to me I toss and turn like the sea
If I drown tonight, bring me back to life
Breathe your breath in me
The only thing that I still believe in is you
If you only knew
If you only knew

[Bridge]
I still hold on to the letters
You returned, you helped me live and learn

[Chorus]
It's 4:03 and I can't sleep
Without you next to me I toss and turn like the sea
If I drown tonight, bring me back to life
Breathe your breath in me
The only thing that I still
Believe in is you (If I drown tonight, bring me back to life)
Believe in is you (If I drown tonight, bring me back to life)
I still believe in you
If you only knew3Embed"
